"ID","Schinopsis.lorentzii","Ceiba.chodatii","Celtis.ehrenbergiana","Parasenegalia.visco","Bougainvillea.stipitata","Ruprechtia.apetala","Condalia.buxifolia","Lithraea.molleoides","Schinus.bumelioides","Prosopis.nigra","Aspidosperma.quebracho.blanco","Parkinsonia.praecox","Senegalia.praecox","Sarcomphalus.mistol","Maytenus.vitis.idaea","Parapiptadenia.excelsa","UNLISTED","Prosopis.alba","Vachellia.aroma","Celtis.iguanaea","Anadenanthera.colubrina","Libidibia.paraguariensis","Duranta.serratifolia","Schinus.piliferus","Myrcianthes.cisplatensis","Allophylus.edulis","Xylosma.pubescens","Berberis.commutata","Myrcianthes.pseudomato","Zanthoxylum.coco","Xylosma.longipetiolata","Vachellia.caven","Ruprechtia.laxiflora","Tessaria.integrifolia","Salix.humboldtiana","Erythroxylum.argentinum","Juglans.australis","Blepharocalyx.salicifolius","Schinus.lentiscifolius","Sideroxylon.obtusifolium","Salta.triflora","Schinus.fasciculatus","Senegalia.gilliesii","Mimozyganthus.carinatus","Prosopis.torquata","Sapium.haematospermum","Geoffroea.decorticans","Castela.coccinea","Jodina.rhombifolia","Prosopis.flexuosa","Bulnesia.retama","Maytenus.viscifolia","Prosopis.affinis","Schinus.areira","Tabebuia.nodosa","Prosopis.chilensis","Larrea.divaricata","Kageneckia.lanceolata","Ligustrum.lucidum.","Prosopis.alpataco","Trithrinax.campestris","Condalia.microphylla","Vachellia.astringens","Prosopis.kuntzei","Atamisquea.emarginata","Achatocarpus.praecox","Eugenia.uniflora","Gleditsia.amorphoides","Scutia.buxifolia","Zanthoxylum.fagara","Phytolacca.dioica","Schaefferia.argentinensis","Eugenia.hyemalis","Tabernaemontana.catharinensis","Pinus.taeda.","Chrysophyllum.marginatum","Copernicia.alba","Sebastiania.brasiliensis","Enterolobium.contortisiliquum","Myrsine.balansae","Ficus.luschnathiana","Myrcianthes.pungens","Sapium.glandulosum","Acrocomia.aculeata","Cordia.americana","Sebastiania.commersoniana","Handroanthus.heptaphyllus","Cynophalla.flexuosa","Schinopsis.balansae","Schinus.longifolius","Casearia.sylvestris","Syagrus.romanzoffiana","Myracrodruon.balansae","Zanthoxylum.petiolare","Xylosma.tweediana","Eugenia.myrcianthes","Sorocea.sprucei","Chloroleucon.tenuiflorum","Trichilia.elegans","Xylosma.venosa","Maclura.tinctoria","Chrysophyllum.gonocarpum","Annona.emarginata","Cupania.vernalis","Phyllostylon.rhamnoides","Erythrina.falcata","Holocalyx.balansae","Philyra.brasiliensis","Plinia.rivularis","Peltophorum.dubium","Myrsine.laetevirens","Butia.yatay","Ocotea.acutifolia","Melia.azedarach.","Nectandra.angustifolia","Luehea.divaricata","Guarea.macrophylla","Cordia.ecalyculata","Trichilia.catigua","Croton.urucurana","Inga.affinis","Ocotea.puberula","Solanum.granulosum.leprosum","Prosopis.elata","Bougainvillea.praecox","Prosopis.vinalillo","Anisocapparis.speciosa","Ximenia.americana","Cynophalla.retusa","Acanthosyris.falcata","Sarcotoxicum.salicifolium","Trithrinax.schyzophylla.var..schyzophylla","Aspidosperma.triternatum","Trithrinax.schyzophylla","Gonopterodendron.sarmientoi","Pisonia.zapallo","Pterogyne.nitens","Monteverdia.spinosa","Tachigali.aurea","Albizia.inundata","Prosopis.ruscifolia","Porlieria.microphylla","Schinopsis.heterophylla","Schinus.praecox","Prosopis.rubiflora","Prosopis.sericantha","Schinus.molle","Handroanthus.impetiginosus","Diplokeleba.floribunda","Myrcianthes.mato","Sapindus.saponaria","Zanthoxylum.rhoifolium","Pouteria.glomerata","Morus.alba.","Erythrina.crista.galli","Inga.uraguensis","Psidium.striatulum","Ateleia.glazioveana","Capparicordis.tweediana","Calycophyllum.multiflorum","Ruprechtia.salicifolia","Cordia.saccelia","Parkinsonia.aculeata","Vallesia.glabra","Serjania.foveata","Mimosa.candelabrum","Terminalia.triflora","Trithrinax.schizophylla.var..biflabellata","Lycium.boerhaviaefolium","Casearia.catharinensis","Prosopis.hassleri","Coccoloba.cordata","Lycium.cuneatum","Schinus.sp.","Chloroleucon.foliolosum","Nectandra.cuspidata","Cabralea.canjerana","Berberis.microphylla","Eugenia.punicifolia","Ruprechtia.brachysepala","Pouteria.gardneriana","Randia.ferox","Ficus.citrifolia","Schinus.spinosus","Microlobius.foetidus","Psidium.guajava","Guazuma.ulmifolia","Eugenia.speciosa","Phoradendron.habrostachyum","Agonandra.excelsa","Cedrela.balansae","Schinus.gracilipes","Schinus.meyeri","Athyana.weinmanniifolia","Maytenus.boaria","Zuccagnia.punctata","Cnicothamnus.lorentzii","Schinus.marchandii","Celtis.chichape","Tecoma.stans","Azara.salicifolia","Celtis.pallida","Gonopterodendron.bonariensis","Lycium.cestroides","Rauvolfia.schuelii","Morus.insignis","Gochnatia.palosanto","Vassobia.breviflora","Acanthosyris.spinescens","Jatropha.hieronymi","Loxopterygium.grisebachii","Cochlospermum.tetraporum","Dasyphyllum.brasiliense","Mimosa.detinens","Rubus.brasiliensis","Vachellia.albicorticata","Chloroleucon.chacoense","Bougainvillea.spinosa","Bulnesia.foliosa","Handroanthus.albus","Prosopis.ruizleali","Lachesiodendron.viridiflorum","Schinus.polygamus","Prosopis.caldenia","Vachellia.macracantha","Ochetophila.trinervis","Lycium.tenuispinosum","Mimosa.bonplandii","Myrrhinium.atropurpureum","Bougainvillea.campanulata","Ceiba.speciosa","Prosopis.ferox","Schinus.latifolius.","Senegalia.fiebrigii","Prosopis.argentina","Allenrolfea.vaginata","Monteverdia.ilicifolia","Prunus.tucumanensis","Coccoloba.tiliacea","Mimosa.debilis","Tipuana.tipu","Solanum.riparium"
"22083036",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22083037",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22083039",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22083040",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22083041",1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22083042",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22084029",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22084030",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22084031",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22084034",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
