"ID","SUBREG.x","MEDIA_ALTU","SUMA_DAP_X","AREA_BASAL","richness","long","lat","FECHA_UM_A","PENDIENT_1","FECHA_UM_1"
22083036,"Chaco SemiÃƒÂ¡rido","6.7375","6.079839343","14.22134969",28,"-62.34205556","-25.02611111",2017,"sin_pendiente",2017
22083037,"Chaco SemiÃƒÂ¡rido","5.723529412","4.663261395","7.292167792",35,"-62.34166667","-25.11713889",2017,"sin_pendiente",2017
22083039,"Chaco SemiÃƒÂ¡rido","7.753421053","6.657398678","14.45805259",38,"-62.34057778","-25.29787778",2017,"sin_pendiente",2017
22083040,"Chaco SemiÃƒÂ¡rido","5.897674419","5.929374472","11.10603284",43,"-62.34","-25.38805556",2018,"sin_pendiente",2018
22083041,"Chaco SemiÃƒÂ¡rido","6.806666667","5.918706115","12.56077866",30,"-62.33944444","-25.47836111",2018,"sin_pendiente",2018
22083042,"Chaco SemiÃƒÂ¡rido","7.264285714","6.078908347","15.1122551",28,"-62.33897222","-25.56861111",2018,"sin_pendiente",2018
22084029,"Chaco SemiÃƒÂ¡rido","5.233333333","4.583232358","8.384585088",33,"-62.24672222","-24.39466667",2018,"sin_pendiente",2018
22084030,"Chaco SemiÃƒÂ¡rido","5.545945946","5.333979744","10.17547778",37,"-62.24611111","-24.48494444",2018,"sin_pendiente",2018
22084031,"Chaco SemiÃƒÂ¡rido","6.834210526","7.017239037","15.72082",38,"-62.24555556","-24.57519444",2018,"sin_pendiente",2018
22084034,"Chaco SemiÃƒÂ¡rido","6.215151515","5.400918492","11.37481761",33,"-62.24397222","-24.84602778",2018,"sin_pendiente",2018
22084035,"Chaco SemiÃƒÂ¡rido","6.07030303","5.278302602","13.930402",33,"-62.24338889","-24.93627778",2017,"sin_pendiente",2017
22084036,"Chaco SemiÃƒÂ¡rido","6.669230769","4.169558904","9.042338614",26,"-62.24283333","-25.02655556",2017,"sin_pendiente",2017
22084037,"Chaco SemiÃƒÂ¡rido","6.55","5.41833226","9.364095507",35,"-62.24263889","-25.11680556",2017,"sin_pendiente",2017
22084039,"Chaco SemiÃƒÂ¡rido","6.529245283","7.681592427","14.34697035",53,"-62.24128333","-25.29738889",2017,"sin_pendiente",2017
22084041,"Chaco SemiÃƒÂ¡rido","6.195652174","4.680341184","11.18542458",23,"-62.24","-25.47786111",2018,"sin_pendiente",2018
22085028,"Chaco SemiÃƒÂ¡rido","5.334375","5.654827994","11.01042986",32,"-62.14869444","-24.30383333",2018,"sin_pendiente",2018
22085033,"Chaco SemiÃƒÂ¡rido","5.913157895","5.399889848","12.09143131",38,"-62.14565","-24.75521667",2018,"sin_pendiente",2018
22085034,"Chaco SemiÃƒÂ¡rido","6.967567568","5.59001077","10.27361258",37,"-62.14533333","-24.84541667",2018,"sin_pendiente",2018
22085035,"Chaco SemiÃƒÂ¡rido","6.2","3.821255322","8.768060689",19,"-62.14438889","-24.93572222",2017,"sin_pendiente",2017
22085037,"Chaco SemiÃƒÂ¡rido","6.637073171","7.120881989","14.51837879",41,"-62.14322222","-25.116225",2017,"sin_pendiente",2017
22085039,"Chaco SemiÃƒÂ¡rido","6.714285714","3.359677083","5.333797971",21,"-62.14216667","-25.29708333",2017,"sin_pendiente",2017
22085041,"Chaco SemiÃƒÂ¡rido","5.636666667","5.404908865","11.53758871",30,"-62.14061111","-25.47730556",2018,"sin_pendiente",2018
22085042,"Chaco SemiÃƒÂ¡rido","6.807317073","7.328004409","11.1611048",41,"-62.13997222","-25.56758333",2018,"sin_pendiente",2018
22086032,"Chaco SemiÃƒÂ¡rido","5.58","4.627486715","8.254311094",25,"-62.04766667","-24.66347222",2018,"sin_pendiente",2018
22086034,"Chaco SemiÃƒÂ¡rido","5.397219512","5.350910225","10.67832582",41,"-62.04608333","-24.84491667",2017,"sin_pendiente",2017
22086037,"Chaco SemiÃƒÂ¡rido","5.976818182","6.759722248","14.94688519",44,"-62.04411667","-25.11558611",2017,NA,2017
